Area;Shipper;Titik Terima;Titik Serah;Target Volume (MMSCFD);Realisasi (MMSCFD)
CSA;PEP Asset 1 Field Jambi ;SPPP Tempino Km.265;Km.03 Sei. Gerong;4404,39;6368,61
CSA;PEP Asset 1 Field Ramba;Km. 139;Km.03 Sei. Gerong;1235,76;947,92
CSA;TAC P-EMP BWP Meruap;SPPP Tempino Km.265;Km.03 Sei. Gerong;779,00;734,26
CSA;PHE Jambi Merang;SPPP Tempino Km.265;Km.03 Sei. Gerong;0,00;0,49
CSA;PSC MontD’Or Oil Tungkal Ltd.;SPPP Tempino Km.265;Km.03 Sei. Gerong;14,25;261,98
CSA;PSC Tately N.V ;SPPP Tempino Km.265;Km.03 Sei. Gerong;2,85;34,63
CSA;PSC Odira Energy Karang Agung;Km. 139;Km.03 Sei. Gerong;308,75;122,96
CSA;PEP CENTRAL RAMBA;Km. 102;Km.03 Sei. Gerong;3327,52;1801,56
CSA;PSC Seleraya Merangin Dua;Km. 102;Km.03 Sei. Gerong;227,03;180,33
CSA;PSC Jindi South Jambi B Co., Limited;Km. 102;Km.03 Sei. Gerong;118,07;90,28
ROKAN;Pertamina Hulu Rokan;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;147289,78;143560,75
ROKAN;Pertamina Hulu Energi Siak*;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;0,00;0,00
ROKAN;SPR Langgak;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;489,12;326,39
ROKAN;APG Westkampar Indonesia;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;90,32;486,97
ROKAN;EMP Energi Gandewa;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;1228,37;1589,42
ROKAN;EMP Tonga;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;0,00;59,90
ROKAN;Texcal Mahato*;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;5586,47;6317,69
ROKAN;Bumi Siak Pusako*;Duri Crude & Sumatran Light Crude;Dumai DC & SLC;4327,91;3186,74
